Team Name,Name,Wins,Losses,MMR,Race,APM,Biggest Win (MMR Diff),Biggest Loss (MMR Diff),Players Defeated (MMR Diff),Players Lost To (MMR Diff)
Garmin Fenix,PapaGil,0,1,2648,Zerg,65,,commamloser (-2648),,commamloser (-2648)
Google Noobernetes,atlantean,0,3,2881,Protoss,51,,Anelit (-2881),,Anelit (-2881) ; Rook (+102) ; Gyalgatine (+1327)
Amazon Painforest,bablit,2,0,0,Terran,197,Winze (+2979),,Winze (+2979) ; MrJin (+0),
Google Cannon Platform,halflings,0,1,3265,Zerg,132,,pzlin (-3265),,pzlin (-3265)
Amazon Painforest,Taeho,1,2,3683,Protoss,168,RexAliquid (-3683),Alephnaut (+809),RexAliquid (-3683),Alephnaut (+809) ; Slumdog (+911)
Google BetaStar,pzlin,1,0,0,Protoss,139,halflings (+3265),,halflings (+3265),
Google YouNube,Galoubet,0,2,2706,Zerg,99,,coolwhip (-2706),,coolwhip (-2706) ; Kolo (+1476)
Apple MacRoPro,AGiantSmurf,2,3,5468,Protoss,194,tsuki (-2213),SourSpinach (-675),tsuki (-2213) ; MAznDragon (-5468),SourSpinach (-675) ; StoicWilly (-506) ; StoicWilly (-506)
Findex Fast Expand,StoicWilly,6,0,4962,Terran,231,AGiantSmurf (+506),,AGiantSmurf (+506) ; AGiantSmurf (+506) ; Gokhan (-4962) ; Gokhan (-4962) ; Lackthereof (-4962) ; maybecake (-4962),
Apple MacRoPro,Funkytown,1,0,0,Zerg,194,MyKill (+2891),,MyKill (+2891),
IBM Raiders,GreatArchon,0,1,4150,Terran,172,,MrNovember (+1290),,MrNovember (+1290)
Shopify Dropshippers,Thadeaus,0,1,3052,Protoss,118,,tsuki (+203),,tsuki (+203)
IBM Raiders,BARCODE,2,1,3415,Terran,341,xale (-861),Mestaman (-3415),xale (-861) ; sineon (-3415),Mestaman (-3415)
Google Noobernetes,Lackthereof,1,1,0,Zerg,178,Winze (+2979),StoicWilly (+4962),Winze (+2979),StoicWilly (+4962)
Bloomzerg,FearCat,0,2,3575,Terran,83,,juno (+1236),,juno (+1236) ; ZESTisBEST (+1554)
Alexa 12 Pool,MrNovember,3,0,5440,Zerg,263,SilverBullet (-1165),,SilverBullet (-1165) ; GreatArchon (-1290) ; Argyle (-2507),
IBM Raiders,Kolo,3,0,4182,Terran,197,ZESTisBEST (+947),,ZESTisBEST (+947) ; bees (-1007) ; Galoubet (-1476),
Shopify Dropshippers,FutureNights,1,2,0,Zerg,136,Vauxhall (+0),tsuki (+3255),Vauxhall (+0),tsuki (+3255) ; NaCl (+3997)
AMD RyzenG,Spectre,1,1,2886,Terran,151,Sunflasher (-2886),You (-2886),Sunflasher (-2886),You (-2886)
Bloomzerg,Youiur,0,1,0,Zerg,132,,whsper (+0),,whsper (+0)
Eagleview SC2,Mannered,1,1,3664,Terran,131,empathe (-660),juno (+1147),empathe (-660),juno (+1147)
Facebook Zuckerzerg,Arcane,1,1,4098,Protoss,173,DisCerN (-57),Vdek (+587),DisCerN (-57),Vdek (+587)
Apple MacRoPro,Vdek,1,0,4685,Zerg,279,Arcane (-587),,Arcane (-587),
Garmin Fenix,KGBXaiver,0,2,0,Protoss,51,,MUSTARDTIGER (+2395),,MUSTARDTIGER (+2395) ; NaCl (+3997)
Workday My Life for HR,SLeePY,0,1,0,Terran,176,,OneShotKilla (+0),,OneShotKilla (+0)
Apple MacRoPro,coolwhip,1,0,0,Terran,198,Galoubet (+2706),,Galoubet (+2706),
Bloomzerg,DisCerN,0,2,4041,Zerg,237,,Arcane (+57),,Arcane (+57) ; ZESTisBEST (+1088)
Wraitheon,FireFerret,0,1,3753,Terran,127,,You (-3753),,You (-3753)
Garmin Fenix,Juba,1,1,3938,Zerg,193,maybecake (-3938),Dejanigma (-3938),maybecake (-3938),Dejanigma (-3938)
Eagleview SC2,DJRUFIO,1,0,0,Terran,134,MAznDragon (+0),,MAznDragon (+0),
Wraitheon,Starviper,0,1,0,Terran,39,,Gyalgatine (+4208),,Gyalgatine (+4208)
Google Cannon Platform,FarFetchd,0,1,3090,Protoss,93,,PandaLove (+1551),,PandaLove (+1551)
Alexa 12 Pool,Mestaman,1,0,0,Protoss,363,IIIIIIIIIIII (+3415),,IIIIIIIIIIII (+3415),
Peloton Pelocraft,OneShotKilla,1,0,0,Protoss,83,SLeePY (+0),,SLeePY (+0),
Wraitheon,Newbi,0,1,0,Protoss,254,,tskuzzy (+0),,tskuzzy (+0)
Google Cannon Platform,alunatic,1,0,3452,Zerg,127,Optimization (+52),,Optimization (+52),
Google Noobernetes,Kevin,2,0,4967,Protoss,157,PandaLove (-326),,PandaLove (-326) ; Gyalgatine (-759),
Google Cannon Platform,aroich666,0,1,3445,Zerg,198,,Alken (+348),,Alken (+348)
Garmin Fenix,RexALiquid,0,2,0,Random,55,,Smitti (+2943),,Smitti (+2943) ; Taeho (+3683)
Google BetaStar,Optimization,0,1,3504,Zerg,195,,Lunatic (-52),,Lunatic (-52)
IBM Raiders,Treadle,1,0,0,Terran,172,KinCornKarn (+0),,KinCornKarn (+0),
Alexa 12 Pool,whsper,2,2,0,Protoss,179,Allen (+3729),brueda (+4765),Allen (+3729) ; Youiur (+0),brueda (+4765) ; brueda (+4765)
